epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1370.7,0.40889,1.54577,1.12831,0.60782,0.84654,0.69037,0.65577,0.39554,1.85132,0.62736,0.0004155,0.0004155,0.0004155
2,2730.75,0.26508,0.851,0.99772,0.82631,0.81311,0.92829,0.90033,0.41924,1.0327,0.68139,0.000815689,0.000815689,0.000815689
3,4094.35,0.24847,0.72941,0.98698,0.69136,0.7837,0.86663,0.81033,0.39524,1.41001,0.63295,0.00119938,0.00119938,0.00119938
4,5455.78,0.22719,0.65295,0.97207,0.66671,0.81113,0.867,0.84836,0.33711,1.13154,0.54453,0.00117575,0.00117575,0.00117575
5,6817.1,0.20746,0.58617,0.95754,0.82053,0.86006,0.95685,0.91899,0.44086,0.69392,0.75258,0.001151,0.001151,0.001151
6,8180.61,0.18705,0.5308,0.95159,0.78993,0.90973,0.95446,0.91179,0.40907,0.75439,0.66846,0.00112625,0.00112625,0.00112625
7,9568.54,0.17076,0.48931,0.93867,0.92901,0.9183,0.97697,0.95872,0.34766,0.46911,0.56963,0.0011015,0.0011015,0.0011015
8,11087.6,0.15896,0.47304,0.93523,0.77738,0.89419,0.97945,0.94618,0.38074,0.70013,0.61603,0.00107675,0.00107675,0.00107675
9,12522.5,0.15763,0.45169,0.93296,0.87114,0.86698,0.94322,0.89081,0.34353,0.51449,0.54655,0.001052,0.001052,0.001052
10,14034.5,0.14302,0.4242,0.92377,0.96056,0.95723,0.98731,0.98187,0.31135,0.38261,0.51815,0.00102725,0.00102725,0.00102725
11,15523.9,0.13921,0.41723,0.92234,0.956,0.93511,0.98391,0.95142,0.37896,0.46345,0.61902,0.0010025,0.0010025,0.0010025
12,17005.5,0.13751,0.4156,0.92378,0.95462,0.95058,0.98817,0.91053,0.4198,0.55175,0.84934,0.00097775,0.00097775,0.00097775
13,18486.6,0.13186,0.4005,0.92278,0.95654,0.96566,0.99059,0.98672,0.27366,0.3605,0.46578,0.000953,0.000953,0.000953
14,19969.7,0.12788,0.3814,0.91849,0.9592,0.95856,0.9877,0.97517,0.35287,0.39994,0.60129,0.00092825,0.00092825,0.00092825
15,21442.2,0.12222,0.38096,0.91815,0.97856,0.9769,0.99173,0.98304,0.29905,0.3325,0.51164,0.0009035,0.0009035,0.0009035
16,23077.1,0.12004,0.35945,0.91533,0.97599,0.96851,0.99011,0.96294,0.33654,0.33152,0.55338,0.00087875,0.00087875,0.00087875
17,24726,0.11689,0.36314,0.91087,0.97417,0.98311,0.99333,0.97656,0.31675,0.30185,0.52654,0.000854,0.000854,0.000854
18,26369,0.11208,0.35165,0.91016,0.98063,0.98142,0.99308,0.95876,0.31899,0.33654,0.55385,0.00082925,0.00082925,0.00082925
