epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
19,27863.8,0.10837,0.34248,0.91055,0.96783,0.97461,0.99128,0.98554,0.2978,0.32516,0.47855,0.0008045,0.0008045,0.0008045
20,29237.8,0.10632,0.33217,0.90827,0.93601,0.94041,0.98422,0.98051,0.24263,0.36845,0.40772,0.00077975,0.00077975,0.00077975
21,30610.1,0.10253,0.32489,0.90771,0.96474,0.97217,0.99177,0.97984,0.27306,0.3197,0.45956,0.000755,0.000755,0.000755
22,31984.4,0.09892,0.32238,0.90725,0.98412,0.98297,0.9936,0.98444,0.28425,0.32839,0.45414,0.00073025,0.00073025,0.00073025
23,33360.7,0.09791,0.31861,0.90614,0.98563,0.98608,0.99441,0.96906,0.29275,0.34587,0.43774,0.0007055,0.0007055,0.0007055
24,34735.5,0.0986,0.31456,0.90574,0.98456,0.98049,0.99391,0.99233,0.25156,0.28292,0.41709,0.00068075,0.00068075,0.00068075
25,36111.9,0.09153,0.30282,0.90699,0.96787,0.98129,0.99358,0.9791,0.27612,0.30069,0.46063,0.000656,0.000656,0.000656
26,37486.1,0.09278,0.29658,0.90234,0.98073,0.98571,0.99392,0.98204,0.27875,0.30407,0.45392,0.00063125,0.00063125,0.00063125
27,38861.7,0.09103,0.2989,0.90341,0.98439,0.99175,0.9946,0.97031,0.2732,0.29456,0.45419,0.0006065,0.0006065,0.0006065
28,40239.1,0.08931,0.28864,0.90289,0.99333,0.99402,0.99485,0.99303,0.26711,0.29065,0.43912,0.00058175,0.00058175,0.00058175
29,41612.4,0.08426,0.29086,0.90237,0.99305,0.98804,0.99473,0.97662,0.27809,0.28245,0.4462,0.000557,0.000557,0.000557
30,42985,0.08371,0.27808,0.90368,0.99066,0.98857,0.99485,0.97306,0.27038,0.30218,0.4519,0.00053225,0.00053225,0.00053225
31,44351.6,0.08353,0.27702,0.90095,0.98746,0.98852,0.99474,0.99443,0.24456,0.27141,0.40747,0.0005075,0.0005075,0.0005075
32,45717.5,0.0818,0.27024,0.90037,0.9877,0.98895,0.99448,0.98489,0.24217,0.26824,0.40308,0.00048275,0.00048275,0.00048275
33,47084.3,0.07844,0.26352,0.89907,0.99248,0.99713,0.99492,0.98992,0.23295,0.27651,0.39471,0.000458,0.000458,0.000458
34,48450.4,0.07626,0.26147,0.89869,0.99754,0.99362,0.99496,0.99309,0.26004,0.31756,0.41898,0.00043325,0.00043325,0.00043325
35,49817.7,0.07573,0.25045,0.89711,0.99672,0.99598,0.99496,0.99487,0.21543,0.27056,0.36763,0.0004085,0.0004085,0.0004085
36,51184.9,0.07307,0.25746,0.89684,0.99483,0.99663,0.99493,0.98896,0.24457,0.27322,0.40766,0.00038375,0.00038375,0.00038375
37,52551.6,0.07314,0.2468,0.89607,0.99692,0.99759,0.99499,0.98467,0.22778,0.27621,0.39127,0.000359,0.000359,0.000359
38,53918.5,0.06979,0.23806,0.89648,0.9931,0.99786,0.99496,0.99121,0.22805,0.26434,0.38756,0.00033425,0.00033425,0.00033425
39,55286.7,0.06979,0.24309,0.89815,0.99642,0.9946,0.99494,0.99365,0.23761,0.26802,0.39986,0.0003095,0.0003095,0.0003095
40,56654.4,0.06646,0.23748,0.89747,0.99753,0.99819,0.995,0.99141,0.21995,0.25724,0.38594,0.00028475,0.00028475,0.00028475
41,58011.5,0.04111,0.13115,0.90132,0.99621,0.99478,0.99489,0.9946,0.20388,0.28924,0.35412,0.00026,0.00026,0.00026
42,59365.2,0.03162,0.08142,0.89446,0.99718,0.9952,0.99497,0.99494,0.19946,0.29605,0.35076,0.00023525,0.00023525,0.00023525
43,66393.5,0.02855,0.06955,0.8948,0.99687,0.99785,0.99498,0.9949,0.2107,0.31079,0.36297,0.0002105,0.0002105,0.0002105
44,67732.9,0.02596,0.06151,0.89533,0.99877,0.99801,0.995,0.99278,0.19882,0.31307,0.34515,0.00018575,0.00018575,0.00018575
45,69091.1,0.0257,0.05671,0.89433,0.99526,0.99576,0.99495,0.99481,0.19934,0.32695,0.32836,0.000161,0.000161,0.000161
46,70458.2,0.02382,0.05454,0.89335,0.99681,0.99541,0.99498,0.99498,0.17911,0.32674,0.31683,0.00013625,0.00013625,0.00013625
47,71825.1,0.0231,0.05102,0.89354,0.99804,0.99846,0.995,0.995,0.16166,0.29351,0.29351,0.0001115,0.0001115,0.0001115
48,73192.1,0.02099,0.0468,0.89347,0.99787,0.99891,0.995,0.995,0.15271,0.26744,0.27816,8.675e-05,8.675e-05,8.675e-05
49,74561.1,0.01998,0.04447,0.89371,0.99963,0.99837,0.995,0.995,0.15626,0.25809,0.27754,6.2e-05,6.2e-05,6.2e-05
50,75930.8,0.01953,0.03881,0.89468,0.99911,0.9992,0.995,0.995,0.14482,0.25988,0.26787,3.725e-05,3.725e-05,3.725e-05
